name,quadrant,ring,isNew,description
PHP 7.x,Languages,Adopt,FALSE,
Swift,Languages,Adopt,FALSE,
TypeScript,Languages,Adopt,FALSE,
GoLang,Languages,Adopt,FALSE,
JavaScript,Languages,Adopt,FALSE,
Python,Languages,Adopt,FALSE,
Kotlin,Languages,Adopt,FALSE,
AirFlow,Data Managment,Adopt,FALSE,
OpenShift Origin,Platforms & Infrastructure,Adopt,FALSE,
Tekton Pipelines,Platforms & Infrastructure,Adopt,FALSE,
Nginx,Platforms & Infrastructure,Adopt,FALSE,
Envoy,Platforms & Infrastructure,Adopt,FALSE,
MariaDB,Data Managment,Adopt,FALSE,
ProxySQL,Data Managment,Adopt,FALSE,
Github Orchestrator,Data Managment,Adopt,FALSE,
ElasticSearch,Data Managment,Hold,FALSE,
ClickHouse,Data Managment,Adopt,FALSE,
MongoDB,Data Managment,Adopt,FALSE,
Redis,Data Managment,Adopt,FALSE,
Memcached,Data Managment,Hold,FALSE,
Gearmand,Platforms & Infrastructure,Hold,FALSE,
Kafka,Data Managment,Adopt,FALSE,
Exasol,Data Managment,Adopt,FALSE,
Cisco HyperFlex,Platforms & Infrastructure,Adopt,FALSE,
Prometheus,Platforms & Infrastructure,Adopt,FALSE,
Grafana,Platforms & Infrastructure,Adopt,FALSE,
ELK Stack,Platforms & Infrastructure,Adopt,FALSE,
NATS,Platforms & Infrastructure,Assess,FALSE,
RabbitMQ,Platforms & Infrastructure,Hold,FALSE,
Terraform,Platforms & Infrastructure,Adopt,FALSE,
Ansible,Platforms & Infrastructure,Adopt,FALSE,
Docker,Platforms & Infrastructure,Adopt,FALSE,
etcd,Data Managment,Adopt,FALSE,
HAProxy,Platforms & Infrastructure,Adopt,FALSE,
Atlassian Bitbucket Server,Platforms & Infrastructure,Adopt,FALSE,
Atlassian Bamboo,Platforms & Infrastructure,Hold,FALSE,
Artifactory,Platforms & Infrastructure,Adopt,FALSE,
Node.js,Framework & Tools,Adopt,FALSE,
React.js,Framework & Tools,Adopt,FALSE,
Redux,Framework & Tools,Adopt,FALSE,
Tutu PHP Framework,Framework & Tools,Hold,FALSE,
Selenium,Framework & Tools,Adopt,FALSE,
Nightwatch.js,Framework & Tools,Hold,FALSE,
PHPUnit,Framework & Tools,Adopt,FALSE,
Composer,Framework & Tools,Adopt,FALSE,
SonarQube,Platforms & Infrastructure,Assess,FALSE,
Jenkins,Platforms & Infrastructure,Hold,FALSE,
JSS,Framework & Tools,Trial,FALSE,
Webpack,Framework & Tools,Adopt,FALSE,
S3,Data Managment,Adopt,FALSE,
Webdriver.io,Framework & Tools,Trial,FALSE,
OpenNebula,Platforms & Infrastructure,Trial,TRUE,
Metabase,Data Managment,Adopt,FALSE,
Next.js,Framework & Tools,Assess,FALSE,
Benthos,Data Managment,Adopt,FALSE,
Consul,Platforms & Infrastructure,Trial,FALSE,
Apache Spark,Data Managment,Trial,FALSE,
Debezium,Data Managment,Hold,FALSE,
CouchBase,Data Managment,Hold,FALSE,
Tableau,Data Managment,Assess,FALSE,
Loki,Data Managment,Trial,FALSE,
Java,Languages,Assess,FALSE,
Kafka Connect,Data Managment,Adopt,FALSE,
RunDeck,Platforms & Infrastructure,Adopt,FALSE,
ZooKeeper,Platforms & Infrastructure,Adopt,FALSE,
Vagrant,Platforms & Infrastructure,Adopt,FALSE,
php-pm (PPM),Framework & Tools,Adopt,FALSE,
FPM,Framework & Tools,Adopt,FALSE,
uWSGI,Framework & Tools,Adopt,FALSE,
Pytest,Framework & Tools,Adopt,FALSE,
Poetry,Framework & Tools,Adopt,FALSE,
Fluentd,Platforms & Infrastructure,Adopt,FALSE,
Jaeger,Framework & Tools,Hold,FALSE,
Opentelemetry,Platforms & Infrastructure,Assess,FALSE,
confd,Framework & Tools,Adopt,FALSE,
supervisord,Framework & Tools,Adopt,FALSE,
PostgreSQL,Data Managment,Adopt,FALSE,
PMM,Data Managment,Adopt,FALSE,
Patroni,Data Managment,Assess,FALSE,
Flask,Framework & Tools,Adopt,FALSE,
PHP Slim,Framework & Tools,Adopt,FALSE,
GraphQL,Framework & Tools,Trial,FALSE,
OpenAPI,Framework & Tools,Adopt,FALSE,
gorush,Framework & Tools,Adopt,FALSE,
gRPC,Framework & Tools,Adopt,FALSE,
